time_ms,raw,filtered
291986.000000,273493,271818.44
292083.000000,274133,272049.91
292179.000000,274248,272269.72
292275.000000,274494,272492.12
292372.000000,274526,272695.50
292468.000000,274496,272875.53
292564.000000,274954,273083.38
292661.000000,274990,273274.03
292757.000000,275259,273472.53
292853.000000,275868,273712.06
292950.000000,275751,273915.94
293046.000000,275397,274064.03
293142.000000,275226,274180.22
293239.000000,274786,274240.78
293335.000000,274846,274301.31
293431.000000,274736,274344.78
293528.000000,274653,274375.59
293624.000000,274550,274393.03
293720.000000,274422,274395.91
293817.000000,273997,274356.00
293913.000000,274242,274344.59
294009.000000,274336,274343.72
294106.000000,274430,274352.34
294202.000000,274276,274344.72
294298.000000,274267,274336.94
294395.000000,274218,274325.03
294491.000000,274243,274316.81
294587.000000,274280,274313.12
294684.000000,274420,274323.81
294780.000000,274450,274336.44
294876.000000,274615,274364.28
294973.000000,274791,274406.94
295069.000000,275379,274504.12
295165.000000,275817,274635.41
295262.000000,276055,274777.38
295358.000000,275855,274885.12
295454.000000,275936,274990.22
295551.000000,276472,275138.38
295647.000000,276713,275295.84
295743.000000,277018,275468.06
295840.000000,277591,275680.34
295936.000000,277867,275899.00
296032.000000,278099,276119.00
296129.000000,278443,276351.41
296225.000000,278329,276549.16
296321.000000,278403,276734.53
296418.000000,279069,276967.97
296514.000000,279580,277229.19
296610.000000,279547,277460.97
296707.000000,279731,277687.97
296803.000000,280391,277958.28
296899.000000,280820,278244.47
296996.000000,281074,278527.41
297092.000000,280910,278765.66
297188.000000,281293,279018.38
297285.000000,281727,279289.22
297381.000000,281804,279540.69
297477.000000,281535,279740.12
297574.000000,281760,279942.12
297670.000000,282015,280149.41
297766.000000,282337,280368.16
297863.000000,282415,280572.84
297959.000000,282808,280796.34
298055.000000,282464,280963.09
298152.000000,282499,281116.69
298248.000000,282978,281302.81
298344.000000,282997,281472.22
298441.000000,283057,281630.69
298537.000000,283577,281825.31
298633.000000,283764,282019.19
298730.000000,283947,282211.97
298826.000000,284343,282425.06
298922.000000,284324,282614.94
299019.000000,284231,282776.53
299115.000000,284616,282960.47
299211.000000,284663,283130.72
299308.000000,284737,283291.34
299404.000000,284396,283401.81
299500.000000,283940,283455.62
299597.000000,283890,283499.06
299693.000000,283590,283508.16
299789.000000,283501,283507.44
299886.000000,283256,283482.28
299982.000000,282736,283407.66
300078.000000,282195,283286.41
300175.000000,281521,283109.88
300271.000000,281322,282931.06
300367.000000,281332,282771.16
300464.000000,280709,282564.94
300560.000000,280331,282341.53
